Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
284,0.1258,27.66,26.57
285,0.1258,27.69,26.61
286,0.1259,27.62,26.56
287,0.1259,27.66,26.61
288,0.1258,27.67,26.58
289,0.1258,27.55,26.52
290,0.1258,27.58,26.55
291,0.1258,27.61,26.57
292,0.1258,27.67,26.6
293,0.1258,27.63,26.58
294,0.1258,27.55,26.5
295,0.1258,27.6,26.59
296,0.1258,27.64,26.54
297,0.1258,27.67,26.58
298,0.1258,27.64,26.57
299,0.1258,27.65,26.57
300,0.1258,27.66,26.62
301,0.1258,27.58,26.53
302,0.1258,27.64,26.57
303,0.1258,27.67,26.61
304,0.1258,27.67,26.61
305,0.1258,27.64,26.56
306,0.1258,27.66,26.59
307,0.1258,27.61,26.56
308,0.1258,27.65,26.56
309,0.1258,27.63,26.57
310,0.1257,27.7,26.62
311,0.1258,27.59,26.54
312,0.1258,27.6,26.57
313,0.1258,27.63,26.57
314,0.1258,27.68,26.6
315,0.1258,27.65,26.59
316,0.1257,27.63,26.57
317,0.1257,27.68,26.63
318,0.1258,27.65,26.6
319,0.1257,27.61,26.55
320,0.1258,27.63,26.55
321,0.1257,27.66,26.58
322,0.1258,27.67,26.6
323,0.1257,27.66,26.6
324,0.1257,27.73,26.63
325,0.1258,27.65,26.59
326,0.1257,27.67,26.58
327,0.1257,27.6,26.55
328,0.1257,27.65,26.59
329,0.1257,27.64,26.57
330,0.1257,27.57,26.54
331,0.1257,27.62,26.59
332,0.1257,27.67,26.59
333,0.1257,27.6,26.55
334,0.1257,27.67,26.59
335,0.1257,27.71,26.63
336,0.1257,27.61,26.56
337,0.1257,27.63,26.58
338,0.1257,27.6,26.54
339,0.1257,27.64,26.58
340,0.1257,27.65,26.57
341,0.1257,27.63,26.56
342,0.1257,27.67,26.6
343,0.1257,27.62,26.54
344,0.1257,27.61,26.54
345,0.1257,27.68,26.6
346,0.1257,27.61,26.55
347,0.1257,27.58,26.5
348,0.1257,27.64,26.58
349,0.1257,27.67,26.59
350,0.1257,27.66,26.59
351,0.1257,27.66,26.59
352,0.1257,27.65,26.58
353,0.1257,27.69,26.61
354,0.1257,27.62,26.56
355,0.1257,27.59,26.54
356,0.1257,27.65,26.57
357,0.1257,27.67,26.6
358,0.1257,27.63,26.56
359,0.1257,27.61,26.54
360,0.1257,27.62,26.56
361,0.1257,27.64,26.58
362,0.1257,27.65,26.59
363,0.1257,27.69,26.61
364,0.1257,27.62,26.57
365,0.1257,27.62,26.55
366,0.1257,27.62,26.56
367,0.1257,27.61,26.55
368,0.1257,27.61,26.56
369,0.1257,27.64,26.57
370,0.1257,27.68,26.6
371,0.1257,27.64,26.58
372,0.1257,27.63,26.57
373,0.1257,27.62,26.57
374,0.1257,27.66,26.59
375,0.1257,27.63,26.58
376,0.1257,27.64,26.57
377,0.1257,27.63,26.57
378,0.1257,27.64,26.56
379,0.1257,27.61,26.55
380,0.1257,27.66,26.59
381,0.1257,27.63,26.57
382,0.1257,27.66,26.58
383,0.1257,27.65,26.59
384,0.1257,27.61,26.56
385,0.1257,27.65,26.58
386,0.1257,27.7,26.62
387,0.1257,27.63,26.57
388,0.1257,27.66,26.59
389,0.1257,27.62,26.56
390,0.1257,27.62,26.57
391,0.1257,27.65,26.57
392,0.1257,27.62,26.57
393,0.1257,27.65,26.58
394,0.1257,27.65,26.58
395,0.1257,27.61,26.55
396,0.1257,27.62,26.56
397,0.1257,27.65,26.58
398,0.1257,27.65,26.58
399,0.1257,27.65,26.59
400,0.1257,27.63,26.56
401,0.1257,27.66,26.58
